,question1,question2,is_duplicate
190688,Is it truly possible that we can travel back in time?,Can we turn back time?,1
147113,When will someone run faster than Usain Bolt?,How can I run faster than Usain Bolt?,0
11180,What would the world be like today if Hitler won WWII?,What would today be like if hitler had won WWII?,1
301969,How do I lose 3kg weight in one week?,How much weight can I lose in a week?,0
99241,What would happen if animals stopped producing baby animals?,What would happen if animals stopped producing  babies?,1
128750,What according to you is the point of life?,Whats the point of life?,1
396602,Why do so many people ask questions on Quora instead of searching the answers on Wikipedia?,Why do so many people ask things on Quora that they could just as easily Google?,1
256471,How should I actually BE confident?,What can I do to become more bold and confident?,0
130580,Why does Tywin Lannister keep Sansa Stark alive and wed to Tyrion Lannister after hearing that Robb Stark (and his mother) has died?,"Did Cersei Lannister turn Jeyne Poole into ""Arya Stark"" on her own accord or did Petyr Baelish suggest it with the forsight that he could reveal she was a fake so Sansa could inherit Winterfell?",0
170714,Which is the best laptop under Rs 25000?,What are the best laptops under 25k?,1
79914,What was it like to work with Sam Altman before he joined YC?,What makes Sam Altman qualified to be YC's president over others?,0
37187,"What moral does ""M.S.Dhoni The untold story"" give?",Pharm d in india?,0
84611,Which is the best novel of Agatha Christie?,Which of Agatha Christie's books is your favorite?,0
361312,How do you politely decline a hug?,What is the best way to politely decline a telemarketer?,0
302193,What are the best free iOS apps?,What are some best free apps on iOS?,1
245807,Why did global warming end up climate change?,"Is global warming now called climate change? If yes, why did they change the name?",1
352036,What are the best illustrated Chemistry encyclopedia describing all the major scientific theories and fields for people age 12-18?,What are the best illustrated Mathematics encyclopedia describing all the major scientific theories and fields for people age 12-18?,0
290114,What was China like in the years 1930 to 1940?,What was China like in the year 1863?,0
368185,Free dog training ebooks download?,Are there any good free dog training ebooks?,1
225405,How do I learn stock market investing?,How do I learn the stock market?,1
261715,How do double bonds and triple bonds compare and contrast?,How do double and triple covalent bonds compare and contrast?,1
246792,How can the universe be expanding faster than the speed of light?,Is expansion of universe faster than the speed of light?,1
370164,What if the numbers were time-dependent?,"I have invested in Ganesh benzoplast, should I keep or sell?",0
313694,Is there another country more corrupt than Trinidad&Tobago?,Is corruption more prevelent in India than other countries? Or is it the same everywhere?,0
108262,Is Donald Trump secretly a Democrat?,Is Donald Trump an undercover democrat?,1
233934,Can hamsters eat carrot? Why or why not?,"Can hamsters eat raisins? If so, how harmful are they for them in any way?",1
186777,What are some budget airlines that fly from China?,What is the best way to fly from California to China?,0
320373,How can I get a beautiful woman even if I'm not a good looking guy?,How do I get a beautiful woman as an ugly guy?,1
224803,What are some of the best maps in Counter-Strike?,How do I get unban from counter strike 1.6?,0
345840,Why is she trying to make me jealous?,My friend went abroad for a few days and is trying to make me jealous. How do I react?,0
336497,I want to know about some of the good directors and their respective work processes based in New Delhi who will be willing to work with a group of 20- 25 people for constructing a stage play?,Can a construction engineer be benefitted by getting a patent agent certification in his field of work? I meant will it be good scope in future?,0
42599,Where happened after things go into black hole?,What happens to things that go into black holes?,1
366196,How can I clean and maintain the skin on my face?,How do I maintain our face clean and oily less?,1
78589,What are the things that we as Indians are collectively doing wrong?,What is it that we indians are doing collectively wrong?,1
400697,"What are some lesser-known sights to see when visiting Salé, Morocco?","What are some lesser-known sights to see when visiting Mohammedia, Morocco?",0
350960,"How can a petroleum geologist describe ""drilling on structure"" and ""drilling off structure""?",How do I drill a square hole?,0
29355,When and how was QBasic created?,When and how was QBasic developed?,0
195629,What banks accept MasterCard?,If a bank accidentally accepts fake notes then who bears the cost? RBI or bank?,0
360985,Could the Russians have built a nuclear bomb without the help of espionage?,Why many students nowadays prefer cheating than studying?,0
215408,What are some best hotels in varanasi?,Which hotels are best to stay in Varanasi for a family trip?,1
354281,Who is smarter? Dexter or Walter White?,"Who's a bigger villain, Gus Fring or Walter White?",0
355961,Can I read Mightier than a sword before any other Jeffery Archer novel?,Has anyone read Mightier than the Sword by Jeffery Archer yet?,0
268807,"How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Sahara?","How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Great Sandy Desert?",1
174924,How do you put on Crest white strips?,How do you put on 3-D Crest White strips?,0
249773,How do I back up my entire Quora account?,How can I backup my Quora account?,1
233043,"Similarities and differences between MS Office, Open Office.org, Google Docs, and Libre Office?","What are the differences between Microsoft Office, LibreOffice, Open Office, and Google Docs?",0
74735,What is a way to create many Gmail accounts without mobile number verification?,Why does Gmail ask for my phone number whenever I try to create a new account?,0
350552,How may times does it take to go around the world once?,How many times does it take to go around the world the world once?,1
293975,Where should I start at to learn about how to do Python?,What is the best source to learn Python?,1
321449,How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet Z3200 24-in PostScript Photo Printer?,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Pro P1102w Printer?,1
212093,What books are the best for studying the history of computers and computer science?,What are some of the best books on computer science?,0
342113,How can I write a essay?,What are the best ways to write an impressive essay?,1
131006,"If the Soviet Union did not disintegrate but adopted capitalism and democracy in 1991, how long it would have gone without disintegrating?",Why did Nazi Germany invade the USSR?,0
327706,Which phone should I buy under INR 15K?,Which phone is best under 15k?,1
388649,How can I use Quora to prepare for bank exams like SBI PO and IBPS PO?,How do prepare the prelims exam of IBPS PO?,1
304964,What is it like to be a freshman at Wharton?,What is it like to be a Wharton undergrad?,0
18772,Why are Golden Retriever dogs with blue eyes so special?,Why are Golden Retriever dogs with blue eyes so active?,0
125646,How do I unblock the LINE app in China?,"The LINE app is blocked in China. I bought a VPN, but it's still not working. Can someone help me?",0
103187,Can you offer me any advice on how to lose weight?,How should I lose weight?,1
115496,Are Reliance LYF smartphones worth purchasing?,How is the performance of LYF Water 2 smartphone from Reliance?,0
355219,What diseases are caused by garbage?,How do pathogenic bacteria cause diseases?,0
39551,Does life get harder as you get older?,Does life really get harder as you get older?,1
77190,"If everything in a dollar store is $1, how does it turn a profit?","How does Big Bazaar profit in a ""buy 1 get 1 free"" deal?",0
335969,What happens when cotton is burnt?,What happens when cotton burns?,1
195420,"Does anyone ever become an atheist, or do you just realize you always were one?","Do some women and men choose to be lesbian or gay? If so, why?",0
83216,Who are your top three favorite Quorans?,Who are your favorite Quorans?,1
156188,What is the different between soda natrium and baking powder?,What is the difference between baking powder and baking soda?,0
57193,"Why is Denmark the world's happiest country? What is the lifestyle of the people of Denmark like, as compared to Indians?",What do people from egalitarian countries like Denmark feel about today's feminist activism in other countries?,0
149925,How do we get racist people to stop being racist?,"Is it possible for me, a racist person to stop being racist?",1
338217,I can't concentrate on studies even if I wanted it and always feel sleepy and lazy. What should I do?,How do I read/study with focus/concentration and avoid distractions/procrastination?,0
213052,Has anyone had sex with flight attendants during an airline flight?,Do flight attendants smuggle?,0
113500,Why is the US president elected only twice?,I have Saturn in 10th house and Jupiter in 3rd house.Sun mercury and mars are together in 5th house. kindly help finding my career path in compt exam?,0
75120,How is ban on 500 and 1000 rupee notes affecting foreign exchange rate?,Can a foreigner exchange 500 and 1000 rupee notes in India? What's the limit and how?,0
358190,What proof is there to back up the flat Earth theory?,What do you think of the Flat Earth Society and their 'proofs'?,0
285455,What steps can be taken to make Municipal Corporations more efficient and corruption free?,What steps must Indians take to make India corruption free?,1
394979,What data science and machine learning career opportunities are there at Twitch?,What data science and machine learning career opportunities are there at Apple?,0
396348,How do you find a slant asymptote?,"If a function f(x) has a slant asymptote g(x), is g'(x) always a slant asymptote for f'(x)?",0
228248,How do I get the value of jtree check box and show it somewhere else in java swing?,How can I generate a report in Java Swing?,0
151686,Why are Indian students the targets of racism in Australia?,Do Indian students still face racism issues in Australia or is the situation better now?,1
297329,"On a weight loss journey, how harmful will  Maggi be to my dieting if taken once in a week?",Is having a high protein and high fiber diet good for weight loss?,0
370309,Why don't women approach guys they like?,Why don't most women approach guys first?,1
10042,Why is there no option to +1 Quora posts?,Why there is a like button for your own post in Facebook but no upvote button in Quora?,0
335114,Do you think moon landing was fake?,Is the moon landing fake because the astronaut suits are different in the images?,1
344400,"If I send a message on Instagram and I hide it and not delete it, how can I know if the person opened it? Will it reappear in my box?",How do I get more followers on Instagram?,0
302995,Why do we lose friends as we age?,Why do we lose friends as we get older?,1
254562,Who has killed the most people first hand in history?,Who has killed the most people with his hands (or holding a gun) in history?,1
1557,What are the main uses of a computer network?,What is computer networking?,1
146834,In which order should one start learning Data science?,How can I become a data scientist?,0
181191,How do you create a glossary in SharePoint?,If I failed in 10th std but I have mark sheet…can I eligible for apply new passport?,0
131704,What is the difference between stereotype and ideal characters?,What is the difference between ideal and stereotype?,1
183799,"Does UPSC allow to reappear in exam for IAS, evenafter selected officer is serving in civil services already, except IAS?","Can you please translate this to English or Hindi- ""baki blog to saro j chhe. Gamyu vachi ne and joi ne k koi Gujarati blogging kare chhe""?",0
34609,Studying in India or abroad for culinary arts. Which is the best option?,What's it like to major in culinary arts?,0
155452,"What is the difference between ""classical realism"" and ""neoclassical realism""?",What is Classical Realism art?,0
365394,What are some websites that are similar to gosupermodel.com?,What are websites similar to Keepvid.com?,0
181945,What causes facial dimples?,Why do some people have dimples?,1
275156,"How can I buy the Universal Book Number for my book on software companies in California, USA?",How can I sync books not purchased on Amazon to Kindle-for-PC software?,0
162140,What are the safety precautions on handling shotguns proposed by the NRA in the entire U.S. including it’s territories and possessions? 2,What are the safety precautions on handling shotguns proposed by the NRA in Kansas?,1
265579,How do I buy my dream car?,How can I buy my dream car?,1
155388,What are the skills that an electronics student should possess to work as a software engineer at product based companies in India?,What are the main veins in the neck?,0
198369,When I'm around people I get uncomfortable. I get annoyed and irritated. does this mean I'm antisocial?,Why do I get annoyed when people hum or whistle?,0
258788,"In ""Heartcatch Precure"", Why did the Super Sihouettes have wings?",Two sphere cut orthogonally. Then radius of common circle?,0
201078,Do you think the evolution of the human race & the existence of god and he being the power behind it could be a reasonable hypothesis?,"Do you believe in the existence of God? If so, could you state reasons for it, or any happenings?",0
165028,What are the funniest memes you have come across recently?,What are the funniest memes you have come across?,1
95098,"What towns are located near the Kilauea, and how does this volcano's activity compare to the volcanoes in the Caribbean?","What towns are located near the Kilauea, and how does this volcano's activity compare to the volcanoes in China?",0
380476,How would you know if you’re a loser?,How do you know if you're a male loser?,0
128211,What are some of the positive and negative implications that could come with time traveling?,Is having a dark upper lip a turn off?,0
375741,What's better B.Sc or B.Tech?,"Which is better, B.A or B.Sc?",0
145397,"If I have glasses with a high prescription, which glass will de-emphasize the strange look you get from high prescription lenses?",Can you have a doctor put prescription lenses in Claire's frames?,0
138544,What are IT project manager best traits?,What are an IT project managers best traits?,1
400514,How do I get rid of feeling sleepy in afternoon?,What can I do to avoid feeling sleepy in the afternoon?,0
10567,What are examples of polar covalent bonds?,What is an example of a covalent bond?,0
17985,How aluminum is coated on plastic in Metalizing?,Is aluminum a metal or non metal? Why?,0
40347,What’s the meaning of your name?,What is the meaning of your name? Who kept your name?,1
257549,Is High Point University hard to get into?,How hard is High Point University to get into?,1
165060,What is the legality of web scraping?,What sales tools can be built using web scraping?,0
203796,What I can do to save our environment?,How can we save our environment for our future?,0
191914,"I'm using WhatsApp, but I don't see blue colored double tick after my messages are read. What should I do?",I can't see the blue line in WhatsApp messages. What's the problem?,0
279049,What will be the salary of SSC CGL posts after 7th pay commission?,What would be the salaries of different CGL posts after the 7th pay commision?,1
382115,Does randomness rule our lives?,Should we have rules in our lives?,0
167429,what are the best websites for downloading Hollywood movies ?,What are the best websites to download Hollywood movies?,1
46044,How does one overcome depression and anxiety?,Can one overcome depression?,1
178306,What is descriptive evaluative research design?,What are some good descriptive research paper topics?,0
26096,Why is my Australian Shepherd/Red Heeler mix puppy afraid of cats?,Why is my American Staffy/Kelpie mix afraid of cats?,1
255315,What's the best way to stop procrastination?,What are the best techniques that worked for you to overcome procrastination?,1
30426,How did Mozart influence the Renaissance?,How did Mozart die?,0
264615,"What are all the flavors of Native American Spirit Cigarettes, and what do the colors mean?",What do cigarettes mean in House of Cards?,0
274477,What are some mind-blowing Hologram gadgets that exist that most people don't know about?,What are some awesome Hologram tools that exist that most people don't know about?,1
365559,Which one is better VMC Pitampura or FIITJEE South Delhi? Why?,I have got admission in VMC at pitampura for founders course. Is it better than RCC?,0
146030,"If someone was suing me, what would happen if I didn't show up to the court hearing?",What are some of the most ridiculous things anybody has been sued for?,0
235974,What causes a white juice to come out of an onion?,Was Freddy Fazbear’s Pizza an actual real pizza place?,0
29290,"Does the Supreme Court of India have the right to terminate the Indian Government? If yes, how so?",Why is the Supreme Court and the Government of India interfering in the affairs of Hindu temples?,0
212168,What is 0 divided by infinity?,What is 0 DIVIDED by 0?,1
360867,Why are there poor people in the world?,How would the world be if there are no poor people?,0
66549,What are some tips on making it through the job interview process at Vista Outdoor?,What are some tips on making it through the job interview process at Johnson Outdoors?,0
34157,Why is Epic Meal Time considered unhealthy?,"Can we see only upto 3rd dimension? Then how we know about 5D , 7D etc?",0
235560,How do you say “What’s up?” in Chinese?,How do you say “what’s your nationality” in Chinese?,0
65300,Was plastic surgery an invention?,Who invented plastic surgery?,0
95832,How can you organize a festival featuring African American culture?,What are some ideas to include at a festival featuring African American culture?,1
56013,What are your favorite fantasy novels? Why?,What's your favorite fantasy novel?,1
110700,What does CoQ10 do for the body?,What is CoQ10?,0
53299,What is Ciscos technology stack?,Is it ok to use an antitussive with an expectorant?,0
364118,Why do some of the most prosperous regions of India have an adverse sex ratio for women?,Why do some of the most prosperous regions in India have an adverse sex ratio for women?,1
290318,Is sex addiction real?,Is sex addiction a reality?,1
41190,Why is it important to be unmateralistic?,Why is it important to be good?,0
222678,Cold World War 3 has began?,Is the Cold War coming back?,1
256936,What are the basic Questions asked for mechanical engineering placement?,What are the most important questions that are asked during a technical interview by  core mechanical or automobile companies?,0
156837,Is America heading towards another revolution or civil war?,Is the USA heading towards civil war?,1
27934,How does one trademark their company logo after trademarking their business?,How do I legally advertise my company logo without a trademark?,0
24273,"Is S$360,000 a good salary for a single guy to live in Singapore?","How good is a salary of SGD 64,000 for a computer science major fresher in Singapore?",0
392476,How do I gain some healthy weight?,What are some of the best ways to gain weight in a healthy way?,1
198116,Does anyone personally know any decent hacker?,Does anyone personally know any decent hackers?,1
137964,What is the best way to start conversation with an unknown girl in Mumbai?,Ise reference solution?,0
170011,Smart People: How can I become a thought leader?,How do you become a thought leader?,1
343322,How can I be more creative and innovative as a mechanical engineering student?,How do I be more creative as a mechanical engineering student?,1
388319,How do I fix an Apple Printer that's not printing black ink and is missing colours?,How do I fix an OKI printer not printing black ink and missing colours?,0
101752,Who is ‏@Being_Humor on Twitter?,Who is @jobsinchinese on Twitter?,0
106889,"How can a manager help an employee understand their own level of emotional intelligence (perceived as very low, by others in the organization)?",Do police officers tend to tell pretty lame jokes?,0
189580,Why is still India a developing country?,Why is India still a developing country when other colonized countries like China and Japan are better developed than India?,1
44985,Does state universities in India have caste reservation quota (for students) for home state students only?,Does central universities in India have caste reservation quota (for students) for home state students only?,1
34784,How can I know if someone blocked me from their moment on WeChat?,How can I tell if someone has blocked my messages on Facebook?,0
328225,What is the effect of compression ratio?,What is the effect of compression ratio in an engine?,0
2628,How do I turn someone down nicely?,How do you turn someone down?,1
237935,What is the best place in India to work?,Which is the best place to work in India?,1
333234,What is the difference between Americano and latte?,"What are the main differences between a latte, a cappuccino, a mocha, and a macchiato?",0
59899,How do I get adequate protein without eating meat?,How can you get protein without eating meat?,1
218253,Why do we see colors?,What is your review of Weightless (2017 movie)?,0
111749,What are some faux pas among drivers?,What are some cultural faux pas among litigators?,0
388044,What software is used in the banking sector in India?,Which bank does Google India use in India?,0
53201,Are there any archaeologists in Quora?,What does an archaeologist do?,0
304896,What do you like least about you job and/or the company? (Apple Employee),What do Apple employees like most about the job and/or the company?,1
326257,Which python algorithmic trading backtesting library to use?,Which is best institution in Bangalore for work day finance?,0
390886,What does it mean to be in the world but not of it?,What is the meaning of the world?,0
232120,How can we convert video song lyrics on YouTube to money without violating the terms and conditions of YouTube?,Why aren't music/song videos with lyrics on YouTube taken down?,0
275325,What is the square root of 98?,How do you simplify the square root of 98?,1
142238,Why are alkynes less reactive?,Why are alkynes more reactive than alkanes?,0
286436,What are creative and new activities to be made in fun day event in medical school?,What are creative and new activities can be made in fun day event in medical school?,1
25136,After how many days pregnancy test kit can give result?,After 1 month complete can pregnancy test next day accurate?,0
229245,What is the best comedy TV serial/series?,Which are the best comedy TV Series to watch?,1
232628,How good is doing an MS at Canada in computer science? What will be the total cost including the stay?,What is the total cost to complete an MS in Canada?,1
82160,What are some diseases which in turn improve your complexion?,I got 9.4 CGPA in 10th class what subject I choose in 11 th class?,0
215392,"What are the best colleges for ECE B.Tech in India, including IIT and non IIT?",Which is the best Engineering College In India to pursue B Tech in ECE Branch?,0
179560,How to make business model?,How do I make a business model?,1
34111,What is Plantar Fasciitis?,How does plantar fasciitis happen?,0
140895,The U.S. has lost Philippines as a pivot in ASEAN. Which other member of ASEAN will the U.S. seek in order to incite a war and make ASEAN another ME?,I want to manufacture a product which is patented in the US and the UK. Will it be an issue if I sell it in Asia or Asean?,0
21658,What is SAP in software companies?,What is a software company?,0
389946,What is copilotsearch.com?,What is DavestPay.com?,0
297166,Is there an ultimate limit to how much information the human brain can actually hold?,Is there a limit to how much knowledge a human brain can retain?,1
321711,What are the diffrenece between CV and resume?,What is the difference between a CV nd a resume?,1
295252,"Lenovo A6000 plus does not charge, although the charging icon keep blinking?",How accurate are movie interpretations of courtrooms?,0
109429,Should I do a PG diploma in industrial robotics or an advance diploma in software testing?,Should I do a PG diploma in industrial robotics or an advanced diploma in software testing?,1
323191,What is a good blood pressure?,What is the best blood pressure medication?,0
303467,What did Kim Mathers do to Eminem?,Is Eminem single?,0
157299,How is Russia's economy in 2016?,How is Russia's economy doing in 2014?,0
30486,How do people get popular on social media?,Why are some people so popular on social media?,0
218752,Is it possible to change your personality as a child?,Is it possible to change a person?,0
283781,How do you respond when people ask why you're single?,What is the best way to respond when someone asks why you're single?,1
214130,Is it safe to give dogs rib bones?,Is it safe and healthy for dogs to eat cooked rib bones?,1
390685,Marketing on Twitter: What's the best way to handle an angry customer tweeting about your brand?,"Can I use Twitter's ""tweet"" in my brand name?",0
261684,"An investment of $9000 grows to $10,297.14 in 4 years. Find the annual rate of return for annual compounding.?",What do some Client Managers say that destroys Developer confidence?,0
47301,Why does my head hurt?,Why does my head hurt in the morning?,0
24446,Is India a secular country? How will we dicuss pseudo-secularism in India?,"How secular do you think India is? Are there any changes you would like to make to make it more secular, pluralistic and tolerant of other faiths?",0
191977,How magnetizing current will be increased by air gap?,What happens if air gap of induction motor increase?,0
124016,What is Quora etiquette?,What are Quora's unspoken values and points of etiquette?,0
344443,How do I change my profile photo in here on Quora?,How can I change my Quora profile photo?,1
149159,Why was OpenOffice written in Java rather than in C/C++?,Does Java run faster than C and C++ today?,0
357088,What's the best thing on the menu at Montana's Cookhouse?,What should I get on the menu?,0
200617,Can anyone slam Media like Raj Thackeray do?,How can i report a person who is putting pornagraphy in social media?,0
127555,What happens to Leonardo DiCaprio's Hugh Glass at the ending of The Revenant?,Is Leonardo DiCaprio on 9GAG?,0
337058,What is it like to have a high IQ?,What is it like for you to have a high IQ?,1
303003,What are the types of steric effects? Can somebody explain in details?,What are Norrish type-I and type-II reactions. Can somebody explain them with examples?,0
385057,What does an actuary do?,What does an actuary do and why are they  important?,1
165105,What are the most anticipated games in Spiel des Jahres 2016?,Build Payment gateway in Malaysia?,0
360517,How would the movie be if Karan Dharma Kama Johar had directed and produced Hindi version of TITANIC movie?,"Is it possible to produce hindi movie in low budget of Rs.3Cr? If yes, please name few movies produced in this budget?",0
66110,"Got offered Level 9 in Accenture Operations. What does this mean? What's the team size usually handled by Level 9, 8 & 7 in Accenture? What's the typical salary range in Level 9?",What is the meaning of different career levels in accenture?,0
220888,Do dating apps really find a date for you?,"Which dating sites should one consider using, of which it really works?",1
116813,"How much would a website like ""www.picaroworld.com' cost to build?",How much would it cost to build a website like Bayut.com?,0
137781,How do I actually go about losing weight?,"What's the best, most effective tips for losing weight?",1
387097,Why do some Americans refer to the United Kingdom as 'England'?,Why do so many Americans (including some well traveled politicians) keep referring to the United Kingdom as England?,1
217368,What is the most common sexual fantasy that men/women have?,What are the most common male sexual fantasies?,1
235310,What does it mean when the car starter is clicking?,How much does a car starter cost?,0
41653,What causes colored spots in your field of vision?,What might cause purple spots in your field of vision?,0
372914,How does a startup reach the Prime Minister Office of the Netherlands?,How does a startup reach the Prime Minister Office of Taiwan?,0
155438,Where can I get all types of legal advisory services for property transaction in Sydney?,Where can I get very friendly property transactions services in Sydney?,1
320064,How do I learn Ethical hacking as a beginner?,How do I learn ethical hacking and what is pentesting?,1
397931,What's the difference between Classical Latin and Medieval Latin?,What are the differences between classical and medieval Latin?,1
235267,Which planet in our solar system is the most habitable besides earth?,To which planet in our Solar System would you like to go on a vacation if they were habitable?,0
245361,"Is ""Wow Momo"" providing any franchise? If yes, please give some contact info to get the franchise.",How do I get the health and glow franchising?,0
306494,How do I link a submit button to another page using HTML?,How do I link a submit button to another webpage using HTML?,1
310647,Why is benzene colourless?,How can you convert benzene into benzoic acid?,0
188326,How should ask my crush for her number?,Why didn't my crush ask for my number after I asked him out?,0
21659,What are some good classical pieces to play on the piano?,What are the most technically demanding piano pieces?,0
367129,What can memories do for us?,What is memory?,0
308868,Can some particles travel faster than the speed of light?,Do gravitational waves travel faster than the speed of light?,0
51184,What is your biggest accomplishment in life?,What was your biggest accomplishment?,1
206692,What are the environmental impacts of the tourism industry and how does it negatively impacted Paris?,What are the environmental impacts of the tourism industry and how does it negatively impacted Dubai?,0
347902,What do I do when my friend is crying?,What do you do when you have no friends?,0
364021,I don't want to move on.,What should I do if I don't want to move on?,0
387996,Why are some people bad at remembering names but able to remember acts/details regarding (or face of) that person? And solutions for that?,What can I do if people cant remember my name?,0
164137,What are the best phone to buy price range between 10- 12k?,Which is the best Android phone in India between Rs 10k- 12k?,1
193565,Are religious fanatics deliberately creating tensions worldwide to make us believe in end time prophecies?,Are children raised by pure atheists on the contrary more susceptible to becoming fanatically religious in later life?,0
328279,Should I become an online freelance writer?,How can I become an online freelance writer?,0
134010,Should India have term limits for a prime minister?,Should Indian Prime Ministers have two-term limits like in the US?,1
319586,How hard is it to get a concealed carry permit in Maryland?,How come Millennials don’t buy cars?,0
138983,What is the difference between infinitive and gerund?,What's the difference between a present participle and a gerund?,0
164492,Why do you need a passport to go on some cruises? What is it used for?,Do you need a passport to go on a cruise?,1
323830,What should everyone know about the Kashmir conflict?,What is Kashmir conflict?,1
363705,What common mistakes do people make when choosing a life partner?,What's the most common mistake people make when choosing their spouse?,1
131845,How many people die worldwide on a yearly basis because of quicksand?,How many people die rock climbing each year? Are there any particular causes for this?,0
29841,Do you have any creative and innovative ideas for a mobile app?,Do you have any innovative ideas for a mobile app?,0
193436,What are 5 of your favorite songs?,What is your favorite song of 2016?,0
334843,How do ideal with back log while preparing for IIT?,How should you tackle back log in all three subjects when preparing for IIT?,1
136203,What the difference between western culture and Chinese culture?,What are the major differences between Chinese and Western culture?,1
202024,Why is Manaphy annoying in Pokemon ranger and the temple of the sea?,Why does Manaphy have an annoying cry in PokeMon ranger and the temple of the sea?,1
17220,Is the amount of work that goes into building profitable startups underestimated?,"What are the best hostels at BITS Pilani (wifi, network, convenience etc…)?",0
121524,What is the Hawaiian symbol for strength?,Where did the indigenous Hawaiian people come from?,0
122,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1
158268,"What is it like to live and work at Yakutsk, Russia?",What is it like to live in Yakutsk Russia? I am fascinated with this place.,1
392412,"After making no friends first semester at college, how do I make friends second semester?",Why is it so hard for foreign students to make friend in India. Student and teachers treat me like a inferior. What should I do to make good friend?,0
241660,A car moving with constant acc. covers the distance between two poles 60 m apart in 6 Sec. At what distance from the first poll was the car at rest?,Will we add length of one car if the question is to find total distance used for overtake when two car of same length is moving.?,0
177430,Should I buy Amazon Echo or Google Home?,How does Google Home compare to Amazon Echo?,0
253769,How could I be fluent in English?,How do I improve my pronunciation in English?,1
29284,What are the best destinations for solo trip in India?,What are some best places for solo trips in India?,1
253364,How can I deal with not being in the the Naruto world?,How do I deal with not being in the world of Naruto?,1
191741,Is divorcing part of USA culture?,"Hypothetically, if you removed all the water from the surface of the earth what would happen?",0
28277,"What is the difference between l menthol and dl menthol in applications, flavor and aroma?",How does menthol produce its particular smell? How does our perceive it?,0
137208,"I spend most of the time alone. What should I do to make it productive. I want to be creative, smart, intelligent, better at negotiations.","For those who spend most of their time alone, how do you stay motivated, focused and productive?",0
13892,What is the latest research topic in cloud computing security?,What are the latest research topics on cloud computing?,0
388766,What is shell scripting?,What is a shell script?,1
14357,What are some must watch Indian movies?,What are the must watch Indian movies?,1
237577,Which is better: NVIDIA GeForce 940M 2GB or NVIDIA GeForce 920M 4GB?,Which choice of graphic card is better: 2GB AMD R7 M265 or 4GB NVIDIA GeForce 920M?,0
257792,How can I ping a specific port?,How do I ping a cell phone in order to obtain its location?,0
96832,What is Tina Fey's scar from?,Is Amy Poehler a blonde Tina Fey?,0
71262,What is it like to be a Baby Boomer?,What are baby boomers?,0
149329,What are the mistakes made by JEE aspirants in previous years?,What are the minute mistakes made by JEE aspirants during their preparation (also mention the solution regarding the problem)?,1
15290,Does masturbation causes hair fall?,Does masturbation cause hair fall?,1
102724,How do I stop myself from falling asleep?,What is the fastest way to fall asleep?,0
196254,Difference between criteria and criterion?,What is the difference between a criteria and a criterion?,1
349878,What happens to a human soul after death?,According to science what happens to the soul after death?,0
211894,What's your favorite country except your own?,What is your favorite country (except your own) and why?,1
120398,How does the Bresser EXOS GoTo telescope mount compare with the Celestron AVX mount?,Wich one is grammatically correct?,0
28152,Do disposable cameras expire? Why?,When do disposable cameras expire?,1
248582,What is specific fuel consumption?,What would be the best solution for finding out the exact fuel consumption rate in vehicles?,0
246407,How to report a violation in multinational pharmaceutical company considering that internal report made and neglected?,"We are planing to do a project which analyzes the data present in a website and generate reports (eg: hiring analysis). Are there any websites that provide data about how many people a company is hiring every year, etc.?",0
205387,"If A implies B and B implies A, then is A equivalent to B?","If A implies B, and B implies C, does A imply C?",0
106561,Why am I not getting any answers to my questions on Quora lately?,Why are my questions on Quora never answered?,1
399215,I failed to qualify for the JEE Advance. What does that mean?,I scored 119 in the JEE Mains 2015. Do I qualify for the JEE Advanced?,0
398880,UK vs. USA - which is better for the average middle class person?,What is average income of Middle class in India?,0
282096,Is it normal to feel emotionally cut off for several months after a bad break up?,Does it really hurts for months after a bad break up?,1
187335,Are you looking for the best website designing company in Delhi?,Which is the Best Website Designing Company in Delhi?,0
244139,How do I prepare for any government jobs?,How do I prepare for government jobs?,1
318374,What is a mystery?,What is this mysterious code?,0
203319,Is Hillary Clinton going to go to jail?,Why is Hillary Clinton not in jail after all the allegations of crimes?,1
396101,What is a mathematical personality?,What is mathematics not?,0
263387,Does ResultSource.com have any competitors?,Are SalesCrunch.com and GoInstant.com competitors?,0
386485,How will demonitization stop black money?,Will demonetisation really curb black money?,1
9453,Why does western history continue to misunderstand and MIS represent Ethiopia and the East African diaspora?,Why is Robert Fulton significant to engineering?,0
365641,How do you convince your gf to patch after a breakup?,Should I keep my long term relationship even if I'm in my early twenties?,0
126022,Is there a solution for this?,Suppose you were asked to manage $1M for a couple (aged 65) (cant use a financial planner). How would you invest and allocate between asset classes?,0
143372,Is it true that Hillary Clinton and Bill Clinton are getting a divorce?,Is it true that Hillary Clinton and Bill Clinton are divorcing?,1
400821,What are the best forums for freelancers?,What is a good forum for freelance photojournalists?,0
187171,What is the daily routine of an introvert?,What are your daily routines?,0
255217,What are some tips for freelancing?,How can I freelance with C++?,0
194674,Why should I vote for Hillary Clinton and not Trump?,Why should I not vote for Hillary Clinton or Donald Trump?,0
